group_id,model_variant,n_nodes,top_gene_sets,top_pathways,top_go_terms,summary
B0,GNN-beta structlite,484,"GSE246602-4-vs-2-human up; GSE184029-1-vs-5-human up; GSE152385-1-vs-3-human up; GSE116129,GSE116132-5-vs-10-human dn; GSE99680-1-vs-5-human up",Transcriptional regulation by RUNX3; Axon guidance; Nervous system development; PCP/CE pathway; Regulation of CDH1 Function; Developmental Lineage of Pancreatic Ductal Cells; Degradation of CDH1; Cellular responses to stimuli; Assembly of the pre-replicative complex; Asymmetric localization of PCP proteins,Regulation Of Apoptotic Process; Regulation Of Cell Migration; Negative Regulation Of Programmed Cell Death; Negative Regulation Of Apoptotic Process; Positive Regulation Of Cell Migration; Positive Regulation Of DNA-templated Transcription; Regulation Of Cell Population Proliferation; Positive Regulation Of Cell Motility; Positive Regulation Of Intracellular Signal Transduction; Positive Regulation Of Transcription By RNA Polymerase II,"The gene sets in this cluster are primarily involved in the regulation of apoptotic processes, cell migration, and transcription. These functions are crucial for the development and maintenance of tissues and organs, and dysregulation of these processes can contribute to disease states."
B1,GNN-beta structlite,582,"GSE100574-2-vs-3-human dn; GSE151200,GSE151201-5-vs-1-human dn; GSE149566-3-vs-10-human dn; GSE184156-3-vs-7-human up; GSE111178,GSE111180-3-vs-10-human dn",Axon guidance; Transcriptional regulation by RUNX3; Nervous system development; Developmental Lineage of Pancreatic Ductal Cells; Degradation of the extracellular matrix; Regulation of CDH1 Function; Extracellular matrix organization; RAC3 GTPase cycle; Developmental Lineage of Mammary Gland Myoepithelial Cells; Non-integrin membrane-ECM interactions,Regulation Of Apoptotic Process; Regulation Of Cell Migration; Regulation Of Cell Population Proliferation; Negative Regulation Of Programmed Cell Death; Positive Regulation Of DNA-templated Transcription; Negative Regulation Of Apoptotic Process; Positive Regulation Of Intracellular Signal Transduction; Positive Regulation Of Cell Migration; Negative Regulation Of DNA-templated Transcription; Positive Regulation Of Cell Motility,"The gene sets in this cluster are primarily related to the development and function of the nervous system. They involve axon guidance, transcriptional regulation, and developmental lineage of pancreatic ductal cells and mammary gland myoepithelial cells."
B2,GNN-beta structlite,442,"GSE144752-1-vs-0-human dn; GSE247721,GSE247722-5-vs-0-human dn; GSE218585-7-vs-14-human dn; GSE218462,GSE218464-1-vs-2-human dn; GSE130752-2-vs-4-human dn",Immune System; Cellular responses to stimuli; Cytokine Signaling in Immune system; Metabolism of proteins; Developmental Biology; Cellular responses to stress; Nervous system development; Signal Transduction; Axon guidance; Disease,Cytoplasmic Translation; Regulation Of Apoptotic Process; Peptide Biosynthetic Process; Macromolecule Biosynthetic Process; Positive Regulation Of Intracellular Signal Transduction; Gene Expression; Translation; Cellular Response To Cytokine Stimulus; Regulation Of Cell Population Proliferation; Inflammatory Response,"The gene sets in this cluster are primarily involved in the immune response. They represent various aspects of immune system function, including cytokine signaling, cellular responses to stimuli, and the metabolism of proteins. These genes are crucial for the body's defense against pathogens and play a role in the regulation of apoptosis, cell proliferation, and response to stress."
B3,GNN-beta structlite,495,"GSE159759-4-vs-1-human up; GSE174745-3-vs-4-human up; GSE115377-4-vs-5-human dn; GSE79400-6-vs-7-human dn; GSE80045,GSE80046-0-vs-9-human up",Axon guidance; Nervous system development; Non-integrin membrane-ECM interactions; ECM proteoglycans; Degradation of the extracellular matrix; Developmental Lineage of Pancreatic Ductal Cells; Collagen degradation; Extracellular matrix organization; Integrin cell surface interactions; Fibronectin matrix formation,Regulation Of Cell Migration; Regulation Of Apoptotic Process; Positive Regulation Of Cell Migration; Negative Regulation Of Apoptotic Process; Regulation Of Cell Population Proliferation; Positive Regulation Of DNA-templated Transcription; Negative Regulation Of Programmed Cell Death; Positive Regulation Of Intracellular Signal Transduction; Positive Regulation Of Transcription By RNA Polymerase II; Positive Regulation Of Cell Motility,The cluster of gene sets is primarily associated with the biological process of cell migration. This is evident from the high frequency of pathways and terms related to cell migration and apoptosis regulation.
B4,GNN-beta structlite,592,"GSE230450,GSE230520-2-vs-0-human up; GSE191100-3-vs-4-human dn; GSE111786-2-vs-6-human up; GSE184875,GSE184877-3-vs-6-human up; GSE104756-2-vs-3-human up",Developmental Lineage of Pancreatic Ductal Cells; Transcriptional regulation by RUNX3; Nervous system development; Axon guidance; Signaling by ALK fusions and activated point mutants; Signaling by ALK in cancer; Degradation of the extracellular matrix; Assembly of the pre-replicative complex; Cellular responses to stimuli; Cell Cycle Checkpoints,Regulation Of Apoptotic Process; Negative Regulation Of Apoptotic Process; Regulation Of Cell Migration; Negative Regulation Of Programmed Cell Death; Regulation Of Cell Population Proliferation; Positive Regulation Of DNA-templated Transcription; Positive Regulation Of Cell Migration; Negative Regulation Of Cellular Process; Positive Regulation Of Cellular Process; Positive Regulation Of Intracellular Signal Transduction,"The cluster of gene sets is primarily related to the development and function of the nervous system, with a focus on neurodegenerative diseases, stem cell biology, and regulation of cellular processes."
B5,GNN-beta structlite,229,"GSE137270,GSE160583-3-vs-6-human dn; GSE80062-0-vs-1-human up; GSE109143-2-vs-3-human dn; GSE52530,GSE52531-1-vs-2-human up; GSE151936-0-vs-2-human up",Metabolism of proteins; Metabolism of RNA; Translation; rRNA processing; Cellular responses to stimuli; Cellular responses to stress; Metabolism; tRNA processing; FASTK family proteins regulate processing and stability of mitochondrial RNAs; Mitochondrial RNA degradation,Peptide Biosynthetic Process; Macromolecule Biosynthetic Process; Translation; Gene Expression; Positive Regulation By Host Of Viral Process; Modulation By Host Of Viral Genome Replication; Cytoplasmic Translation; Regulation Of Chaperone-Mediated Autophagy; Cellular Response To Epidermal Growth Factor Stimulus; Positive Regulation Of Cellular Biosynthetic Process,"The gene set cluster is characterized by its strong association with translation and protein metabolism pathways. This suggests that the genes within the cluster play a significant role in the synthesis and regulation of proteins, which is crucial for various cellular processes."
B6,GNN-beta structlite,817,GSE163726-3-vs-4-human dn; GSE152497-7-vs-9-human dn; GSE178922-1-vs-4-human dn; GSE135220-1-vs-2-human up; GSE181600-2-vs-11-human up,Developmental Lineage of Pancreatic Ductal Cells; Senescence-Associated Secretory Phenotype (SASP); Degradation of the extracellular matrix; Developmental Lineage of Mammary Gland Myoepithelial Cells; Developmental Lineage of Mammary Gland Luminal Epithelial Cells; Assembly of the pre-replicative complex; IKK complex recruitment mediated by RIP1; Regulation of PD-L1(CD274) transcription; Amyloid fiber formation; Fibronectin matrix formation,Regulation Of Cell Migration; Regulation Of Apoptotic Process; Regulation Of Cell Population Proliferation; Positive Regulation Of Intracellular Signal Transduction; Positive Regulation Of Cell Migration; Positive Regulation Of DNA-templated Transcription; Negative Regulation Of Apoptotic Process; Positive Regulation Of Cell Motility; Positive Regulation Of Cell Population Proliferation; Negative Regulation Of Programmed Cell Death,"The gene sets in this cluster are primarily associated with the biological process of cell migration. This process involves the movement of cells from one location to another, which is crucial for various physiological and pathological functions."
B7,GNN-beta structlite,268,GSE231324-2-vs-0-human dn; GSE113474-0-vs-7-human up; GSE194060-7-vs-13-human dn; GSE167409-4-vs-3-human up; GSE205147-4-vs-6-human up,Metabolism of proteins; Translation; Metabolism of RNA; rRNA processing; Cellular responses to stimuli; Cellular responses to stress; Metabolism; Developmental Biology; Infectious disease; Disease,Histone Lysine Demethylation; Postsynaptic Membrane Assembly; Presynaptic Membrane Assembly; Postsynapse Assembly; Presynaptic Membrane Organization; Sequestering Of Actin Monomers; Presynapse Organization; Regulation Of Actin Filament Length; Macromolecule Biosynthetic Process; Response To Type II Interferon,"The cluster of gene sets is primarily related to the cellular response to stress and disease. These gene sets are involved in various biological processes such as histone lysine demethylation, postsynaptic membrane assembly, and macromolecule biosynthetic processes."
B8,GNN-beta structlite,42,"GSE150283-9-vs-5-human up; GSE158374-1-vs-3-human dn; GSE204956-0-vs-3-human dn; GSE118947-2-vs-8-human dn; GSE66207,GSE66209-2-vs-7-human dn",rRNA processing; Translation; Metabolism of RNA; Metabolism of proteins; Metabolism; Cellular responses to stress; Cellular responses to stimuli; HDMs demethylate histones; Chromatin modifying enzymes; Chromatin organization,Histone Lysine Demethylation; Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway; Regulation Of Androgen Receptor Signaling Pathway; Sequestering Of Actin Monomers; Regulation Of Actin Filament Length; Regulation Of Actin Filament Organization; Negative Regulation Of Actin Filament Polymerization; Regulation Of Actin Polymerization Or Depolymerization; Postsynaptic Membrane Assembly; Presynaptic Membrane Assembly,"The gene sets in this cluster are primarily associated with the regulation of actin filaments and their associated proteins. This is crucial for various cellular processes such as cytoskeletal organization, cell membrane assembly, and cell response to stress. These processes are essential for the proper functioning of cells and are implicated in several diseases, particularly those involving abnormal actin filament regulation."
B9,GNN-beta structlite,347,"GSE152497-7-vs-11-human up; GSE152497-11-vs-12-human dn; GSE201958-0-vs-2-human dn; GSE137270,GSE160583-4-vs-7-human dn; GSE152517-3-vs-9-human up",Axon guidance; Transcriptional regulation by RUNX3; Cellular responses to stress; Signaling by ALK fusions and activated point mutants; Signaling by ALK in cancer; Nervous system development; Cellular responses to stimuli; Assembly of the pre-replicative complex; Adherens junctions interactions; DNA Replication Pre-Initiation,Regulation Of Apoptotic Process; Positive Regulation Of DNA-templated Transcription; Regulation Of Cell Population Proliferation; Negative Regulation Of Programmed Cell Death; Negative Regulation Of Apoptotic Process; Regulation Of Cell Migration; Positive Regulation Of Intracellular Signal Transduction; Positive Regulation Of Apoptotic Process; Regulation Of Translation; Negative Regulation Of Cellular Process,"The cluster of 347 gene sets is primarily related to cancer biology, particularly in the context of lymphoma cell lines treated with various drugs. The gene sets represent different states of cell death, cell proliferation, and signaling pathways, highlighting the complex nature of cancer cell response to treatment."
